entity_id,segment_id,horizon_y,event_era,missing_count,population_bin,gdp_bin,energy_per_capita_bin,energy_per_gdp_bin,electricity_demand_per_capita_bin,carbon_intensity_elec_bin,fossil_share_energy_bin,renewables_share_energy_bin,low_carbon_share_energy_bin,energy_cons_change_pct_bin,fossil_cons_change_pct_bin,renewables_cons_change_pct_bin,fossil_share_elec_bin,renewables_share_elec_bin,low_carbon_share_elec_bin,fossil_share_energy_chg1_bin,renewables_share_energy_chg1_bin,energy_cons_change_pct_std5_bin,fossil_share_energy_std5_bin,slice_hard_transition,target_fossil_share_rebound_next,row_id
-949260540042517656,0,1,1,0,6,5,5,5,5,8,8,5,3,4,4,2,7,5,4,8,2,8,4,0,0,146
-949260540042517656,0,1,1,0,6,6,5,3,4,7,7,5,4,0,0,5,7,5,4,2,9,8,3,0,0,147
-949260540042517656,0,1,2,0,6,6,4,2,4,6,6,7,5,2,1,11,6,6,5,0,11,6,7,0,1,148
-949260540042517656,0,1,2,0,6,6,5,3,4,7,7,5,4,10,11,0,7,5,4,11,0,9,7,0,1,149
-949260540042517656,0,1,2,0,6,6,5,3,5,9,8,4,3,6,8,0,8,4,3,10,0,9,8,0,0,150
-949260540042517656,0,1,2,0,6,6,5,3,5,9,9,4,2,6,7,1,8,4,3,9,2,9,9,0,0,151
-949260540042517656,0,1,2,0,6,6,5,3,5,10,9,4,2,5,6,1,8,4,3,8,2,6,9,0,0,152
-949260540042517656,0,1,2,0,6,6,5,3,5,9,9,4,2,10,10,10,8,4,3,4,8,5,6,0,0,153
-949260540042517656,0,1,3,0,6,6,5,4,5,8,8,4,3,3,3,9,7,4,4,3,8,4,3,0,0,154
-949260540042517656,0,1,3,0,6,6,5,3,5,9,8,4,3,2,3,1,8,4,3,8,2,5,3,0,0,155
-733388131950884795,0,1,0,4,6,7,10,9,9,3,3,1,8,7,8,7,2,2,9,-1,-1,-1,-1,0,0,160
-733388131950884795,0,1,0,2,6,7,10,9,9,3,3,1,8,7,8,2,2,2,9,9,4,-1,-1,0,0,161
-733388131950884795,0,1,0,0,6,7,10,9,9,3,3,1,8,3,3,8,2,2,9,4,6,2,3,0,0,162
-733388131950884795,0,1,0,0,6,7,10,9,9,3,3,1,8,2,3,0,2,2,9,9,4,3,3,0,1,163
-733388131950884795,0,1,0,0,6,7,10,9,10,3,3,1,8,8,10,9,3,2,8,10,6,3,6,0,0,164
-733388131950884795,0,1,0,0,6,8,10,9,10,3,3,1,8,5,5,7,3,2,8,5,6,2,6,0,0,165
-733388131950884795,0,1,0,0,6,8,10,10,10,3,4,1,7,8,9,0,3,2,8,8,3,3,6,0,0,166
-733388131950884795,0,1,0,0,6,8,10,9,10,2,3,1,8,4,3,5,2,2,9,1,5,3,5,0,0,167
-733388131950884795,0,1,0,0,6,8,10,9,10,2,3,1,8,5,7,10,3,2,8,10,6,2,4,0,0,168
-733388131950884795,0,1,0,0,6,8,10,9,10,2,3,1,8,3,2,8,2,2,9,1,6,2,6,0,0,169
-733388131950884795,0,1,1,0,6,8,10,9,10,2,3,2,8,5,6,9,2,2,9,9,6,2,5,0,0,170
-733388131950884795,0,1,1,0,6,8,10,9,10,2,3,2,8,3,4,5,2,3,9,9,5,0,4,0,0,171
-733388131950884795,0,1,1,0,6,8,10,9,10,2,3,2,8,3,3,6,2,3,9,3,6,0,4,0,0,172
-733388131950884795,0,1,1,0,6,8,10,9,10,2,3,2,8,7,8,5,3,3,8,9,5,1,5,0,0,173
-733388131950884795,0,1,1,0,6,8,10,9,10,2,3,2,8,4,4,10,2,3,8,7,7,1,4,0,0,174
-733388131950884795,0,1,1,0,6,8,10,8,10,2,3,2,8,3,3,11,2,3,8,3,7,1,3,0,0,175
-733388131950884795,0,1,1,0,6,8,10,8,10,2,3,2,8,4,4,11,2,3,9,8,8,1,3,0,0,176
-733388131950884795,0,1,1,0,6,8,10,8,10,2,3,3,8,4,4,9,2,3,9,3,7,1,3,0,0,177
-733388131950884795,0,1,1,0,7,8,10,8,10,2,3,3,8,5,7,10,2,4,9,10,8,0,3,0,0,178
-733388131950884795,0,1,1,0,7,8,10,8,10,2,3,4,8,0,0,11,3,4,8,0,9,4,7,0,0,179
-733388131950884795,0,1,2,0,7,8,10,8,10,2,3,4,8,9,10,11,3,4,8,9,9,6,7,0,0,180
-733388131950884795,0,1,2,0,7,8,10,7,10,1,2,5,9,1,0,8,2,5,9,1,9,6,9,0,1,181
